:4
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D3:1
D30:1
D31:1
D32:1
D33:1
D34:1
D35:1
D36:1
D37:1
D38:1
D39:1
D4:1
D40:1
D41:1
D42:1
D43:1
D44:1
D45:1
D46:1
D47:1
D48:1
D49:1
D5:1
D50:1
D51:1
D52:1
D53:1
D54:1
D55:1
D56:1
D57:1
D58:1
D59:1
D6:1
D60:1
D61:1
D62:1
D63:1
D64:1
D65:1
D66:1
D67:1
D68:1
D69:1
D7:1
D8:1
D9:1
G***:3
J1:1
J2:1
L1:1
MX1:1
MX10:1
MX11:1
MX12:1
MX13:1
MX14:1
MX15:1
MX16:1
MX17:1
MX18:1
MX19:1
MX2:1
MX20:1
MX21:1
MX22:1
MX23:1
MX24:1
MX25:1
MX26:1
MX27:1
MX28:1
MX29:1
MX3:1
MX30:1
MX31:1
MX32:1
MX33:1
MX34:1
MX35:1
MX36:1
MX37:1
MX38:1
MX39:1
MX4:1
MX40:1
MX41:1
MX42:1
MX43:1
MX44:1
MX45:1
MX46:1
MX47:1
MX48:1
MX49:1
MX5:1
MX50:1
MX51:1
MX52:1
MX53:1
MX54:1
MX55:1
MX56:1
MX57:1
MX58:1
MX59:1
MX6:1
MX60:1
MX61:1
MX62:1
MX63:1
MX64:1
MX65:1
MX66:1
MX7:1
MX8:1
MX9:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:1
S1:1
S2:1
S4:1
S5:1
SW0:1
SW1:1
U1:1
U2:1
